"There is no source to parse.","There is no source to parse."
"Directory %s is not readable","Directory %s is not readable"
"Wrong Include Pattern : %s","Wrong Include Pattern : %s"
"Wrong Exclude Pattern : %s","Wrong Exclude Pattern : %s"
